,Year,Date,Country,City,Deaths,Type,More info,More Info,Date (YYYY-MM-DD),Place,"Perpetrator,actual or suspected",Source/Article,Perpetrator/Suspected perpetrator,Article/Source
10,,July 5,Sri Lanka,"Army camp, Jaffna",40,truck bomb,Main article: Vallipuram Vasanthan,,,,,,,
11,,June19,Spain,Barcelona,21,car bomb,Main article: 1987 Hipercor bombing,,,,,,,
12,1987,April21,Sri Lanka,Colombo,106,car bomb,Main article: Central Bus Station Bombing,,,,,,,
13,,Aug. 19,Iran,Tehran,20,car bomb,[19],,,,,,,
14,,July14,Spain,Madrid,12,car bomb,Main article: Plaza República Dominicana bombing,,,,,,,
15,,March27,Australia,"Victoria Police HQ, Melbourne",1,car bomb,Main article: Russell Street Bombing,,,,,,,
16,1986,March17,Syria,"Military compound, Damascus",60,truck bomb,[20],,,,,,,
17,,Aug.17,Lebanon,"Market, Beirut",55,car bomb,,,,,,,,
18,,May 22,Lebanon,Beirut,50,car bomb,,,,,,,,
19,1985,March8,Lebanon,Beirut,80,car bomb,Main article: 1985 Beirut Car Bombing,,,,,,,
20,,Aug.8,West Germany,"Rhein-Main Air Base, Frankfurt",2,car bomb,Red Army Faction,,,,,,,
21,1984,September 20,Lebanon,U.S. embassy in Beirut,23,car bomb,,,,,,,,
22,,Dec. 21,Lebanon,"French Army building, Beirut",15,truck bomb,,,,,,,,
23,,Dec. 17,England,London,6,car bomb,Main article: Harrods bombing,,,,,,,
24,,Dec. 12,Kuwait,"U.S. and French embassies, Kuwait City",6,truck bombs,Main article: 1983 Kuwait bombings,,,,,,,
25,,Nov. 4,Lebanon,"Israeli Army HQ, Tyre",60,truck bomb,Main article: Tyre headquarters bombings,,,,,,,
26,,Oct. 23,Lebanon,"United States Marines and French Paratroop barracks, Beirut",305,truck bombs,Main article: 1983 Beirut barracks bombing,,,,,,,
27,,May20,South Africa,"Church Street, Pretoria",20,car bomb,Main article: Church Street bombing,,,,,,,
28,,April18,Lebanon,"U.S. Embassy, Beirut",63,car bomb,Main article: April 1983 US Embassy bombing,,,,,,,
29,1983,Jan. 28,Lebanon,"Palestine Liberation Organisation building, Beirut",45,car bomb,,,,,,,,
30,,Nov. 11,Lebanon,"Israeli military HQ, Tyre",102,car bomb,Main article: Tyre headquarters bombings,,,,,,,
31,,Oct. 1,Iran,"Central Square, Tehran",60,truck bomb,[21],,,,,,,
32,,Aug.1,Iraq,Baghdad,20,car bomb,[22],,,,,,,
33,,July20,United Kingdom,"Hyde Park parade, London",4,car bomb,Main article: Hyde Park and Regent's Park bombings,,,,,,,
34,1982,May24,Lebanon,"French embassy, Beirut",14,car bomb,[23],,,,,,,
35,,Dec.15,Lebanon,"Iraqi embassy, Beirut",61,car bomb,[24],,,,,,,
36,,Nov.29,Syria,Damascus,64,car bomb,[25],,,,,,,
37,1981,Oct. 1,Lebanon,"Palestine Liberation Organisation office, Beirut",83,car bomb,Mossad[26],,,,,,,
0,,,Lebanon,,8,car bomb,,,1979-01-22,"Beirut, Lebanon",Mossad,Ali Hassan Salameh,,
1,,,United Kingdom,,2,car bomb,,,1978-02-08,"Maghera, Northern Ireland",Provisional IRA,[27],,
2,,,United Kingdom,,2,car bomb,,,1977-04-20,"Belfast, Northern Ireland",Ulster Volunteer Force,[28],,
3,,,United States,,2,car bomb,,,1976-08-21,"Washington, D.C.",DINA,Washington D.C. bombing,,
4,,,United Kingdom,,2,car bomb,,,1976-08-16,"Keady, Northern Ireland",Ulster Volunteer Force,[29][30],,
5,,,United Kingdom,,4,car bomb,,,1976-03-17,"Dungannon, Northern Ireland",Ulster Volunteer Force,[29],,
6,,,Ireland,,2,car bomb,,,1975-12-19,Dundalk,Ulster Volunteer Force,[28],,
7,,,Ireland,,33,car bombs (4),,,1974-05-17,DublinMonaghan,Ulster Volunteer Force,Dublin and Monaghan bombings,,
8,,,United Kingdom,,2,car bomb,,,1974-01-11,"Derry, Northern Ireland",Official IRA,[31],,
9,,,United Kingdom,,6,car bomb,,,1973-06-12,"Coleraine, Northern Ireland",Provisional IRA,1973 Coleraine bombings[32],,
10,,,United Kingdom,,5,car bomb,,,1973-05-17,"Omagh, Northern Ireland",Provisional IRA,[32],,
11,,,United Kingdom,,2,car bomb,,,1973-01-14,"Derry, Northern Ireland",Provisional IRA,[32],,
12,,,Ireland,,2,car bomb,,,1972-12-28,Belturbet,Ulster Volunteer Force,[31][33],,
13,,,Ireland,,2,car bombs (2),,,1972-12-01,Dublin,Ulster Volunteer Force,[31],,
14,,,United Kingdom,,2,car bomb,,,1972-10-31,"Belfast, Northern Ireland",Ulster Defence Association,Benny's Bar bombing,,
15,,,United Kingdom,,2,car bomb,,,1972-09-30,"Belfast, Northern Ireland",Ulster Volunteer Force,[31],,
16,,,United Kingdom,,3,car bomb,,,1972-09-14,"Belfast, Northern Ireland",Ulster Volunteer Force,[31],,
17,,,United Kingdom,,2,car bomb,,,1972-08-26,"Enniskillen, Northern Ireland",Provisional IRA,[31],,
18,,,United Kingdom,,9,car bombs (3),,,1972-07-31,"Claudy, Northern Ireland",,Claudy bombing,,
19,,,United Kingdom,,9,car bombs (22),,,1972-07-21,"Belfast, Northern Ireland",Provisional IRA,Bloody Friday (1972),,
20,,,West Germany,,3,car bomb,,,1972-05-24,"United States Army base, Heidelberg",Red Army Faction,List of attacks attributed to the RAF,,
21,,,West Germany,,1,car bomb,,,1972-05-11,"United States Army base, Frankfurt",Red Army Faction,List of attacks attributed to the RAF,,
22,,,United Kingdom,,7,car bomb,,,1972-03-20,"Belfast, Northern Ireland",Provisional IRA,1972 Donegall Street bombing,,
23,,,United Kingdom,,2,car bomb,,,1972-03-15,"Belfast, Northern Ireland",Provisional IRA,[31],,
24,,,United Kingdom,,7,car bomb,,,1972-02-22,"British Army base, Aldershot, England",Official IRA,Aldershot bombing (1972),,
25,,,United States,,1,truck bomb,,,1970-08-24,"University of Wisconsin–Madison, Madison, Wisconsin","Karleton Armstrong, Dwight Armstrong, David Fine, Leo Burt",Sterling Hall bombing,,
0,,,South Vietnam,,21,car bomb,,,1965-03-30,"US Embassy, Saigon",,,,[34]
1,,,Algeria,,62,car bomb,,,1962-05-02,Algiers,,,,[35]
2,,,British Mandate for Palestine,,11,car bomb,,,1948-03-11,"Jewish Agency, Jerusalem",,,,
3,,,British Mandate for Palestine,,14,truck bomb,,,1948-03-02,"Office building, Haifa",,,,
4,,,British Mandate for Palestine,,52–80,truck bombs (2),,,1948-02-22,"Ben Yehuda Street, Jerusalem",,,,Ben Yehuda Street Bombing
5,,,British Mandate for Palestine,,18,truck bomb,,,1948-01-04,Jaffa,,,,
6,,,British Mandate for Palestine,,5,truck bomb,,,1947-04-25,"Sarona police compound, Tel Aviv",,,,
7,,,British Mandate for Palestine,,4,truck bomb,,,1947-01-12,Haifa,,,,
8,,,United States,,39,suicide car bomb,,,1927-05-18,"Bath Township, Michigan",,,Andrew Kehoe,Bath School disaster
9,,,United States,,38,wagon bomb,,,1920-09-16,"Wall Street, New York City",,,,Wall Street bombing
